source_type,model,week,cumulative_activation,source
PC NB,M1807GA,W2619,2237,seed
PC NB,M1807GA,W2620,2676,seed
PC NB,M1807GA,W2621,3060,seed
PC NB,M1807GA,W2622,3418,seed
PC NB,M1807GA,W2623,3785,seed
PC NB,M1807GA,W2624,4189,seed
PC NB,M1807GA,W2625,4668,seed
PC NB,M1807GA,W2626,5191,seed
PC NB,M3407GA,W2601,0,seed
PC NB,M3407GA,W2602,0,seed
PC NB,M3407GA,W2603,0,seed
PC NB,M3407GA,W2604,0,seed
PC NB,M3407GA,W2605,0,seed
PC NB,M3407GA,W2606,0,seed
PC NB,M3407GA,W2607,0,seed
PC NB,M3407GA,W2608,0,seed
PC NB,M3407GA,W2609,0,seed
PC NB,M3407GA,W2610,0,seed
PC NB,M3407GA,W2611,165,seed
PC NB,M3407GA,W2612,232,seed
PC NB,M3407GA,W2613,309,seed
PC NB,M3407GA,W2614,381,seed
PC NB,M3407GA,W2615,457,seed
PC NB,M3407GA,W2616,542,seed
PC NB,M3407GA,W2617,617,seed
PC NB,M3407GA,W2618,694,seed
PC NB,M3407GA,W2619,790,seed
PC NB,M3407GA,W2620,874,seed
PC NB,M3407GA,W2621,956,seed
PC NB,M3407GA,W2622,1041,seed
PC NB,M3407GA,W2623,1156,seed
PC NB,M3407GA,W2624,1284,seed
PC NB,M3407GA,W2625,1405,seed
PC NB,M3407GA,W2626,1594,seed
PC NB,M3607GA,W2601,0,seed
PC NB,M3607GA,W2602,0,seed
PC NB,M3607GA,W2603,0,seed
PC NB,M3607GA,W2604,0,seed
PC NB,M3607GA,W2605,0,seed
PC NB,M3607GA,W2606,0,seed
PC NB,M3607GA,W2607,0,seed
PC NB,M3607GA,W2608,0,seed
PC NB,M3607GA,W2609,0,seed
PC NB,M3607GA,W2610,0,seed
PC NB,M3607GA,W2611,0,seed
PC NB,M3607GA,W2612,0,seed
PC NB,M3607GA,W2613,0,seed
PC NB,M3607GA,W2614,0,seed
PC NB,M3607GA,W2615,0,seed
PC NB,M3607GA,W2616,0,seed
PC NB,M3607GA,W2617,1052,seed
PC NB,M3607GA,W2618,1174,seed
PC NB,M3607GA,W2619,1362,seed
PC NB,M3607GA,W2620,1535,seed
PC NB,M3607GA,W2621,1747,seed
PC NB,M3607GA,W2622,1988,seed
PC NB,M3607GA,W2623,2249,seed
PC NB,M3607GA,W2624,2549,seed
PC NB,M3607GA,W2625,2851,seed
PC NB,M3607GA,W2626,3216,seed
PC NB,S3607NA,W2601,0,seed
PC NB,S3607NA,W2602,0,seed
PC NB,S3607NA,W2603,0,seed
PC NB,S3607NA,W2604,0,seed
PC NB,S3607NA,W2605,0,seed
PC NB,S3607NA,W2606,0,seed
PC NB,S3607NA,W2607,0,seed
PC NB,S3607NA,W2608,0,seed
PC NB,S3607NA,W2609,0,seed
PC NB,S3607NA,W2610,0,seed
PC NB,S3607NA,W2611,0,seed
PC NB,S3607NA,W2612,0,seed
PC NB,S3607NA,W2613,0,seed
PC NB,S3607NA,W2614,0,seed
PC NB,S3607NA,W2615,0,seed
PC NB,S3607NA,W2616,0,seed
PC NB,S3607NA,W2617,0,seed
PC NB,S3607NA,W2618,0,seed
PC NB,S3607NA,W2619,0,seed
PC NB,S3607NA,W2620,0,seed
PC NB,S3607NA,W2621,0,seed
PC NB,S3607NA,W2622,0,seed
PC NB,S3607NA,W2623,0,seed
PC NB,S3607NA,W2624,0,seed
PC NB,S3607NA,W2625,0,seed
PC NB,S3607NA,W2626,0,seed
PC NB,S5406SA,W2601,0,seed
PC NB,S5406SA,W2602,0,seed
PC NB,S5406SA,W2603,0,seed
PC NB,S5406SA,W2604,0,seed
PC NB,S5406SA,W2605,0,seed
PC NB,S5406SA,W2606,0,seed
PC NB,S5406SA,W2607,0,seed
PC NB,S5406SA,W2608,0,seed
PC NB,S5406SA,W2609,0,seed
PC NB,S5406SA,W2610,0,seed
PC NB,S5406SA,W2611,0,seed
PC NB,S5406SA,W2612,0,seed
PC NB,S5406SA,W2613,0,seed
PC NB,S5406SA,W2614,0,seed
PC NB,S5406SA,W2615,0,seed
PC NB,S5406SA,W2616,0,seed
PC NB,S5406SA,W2617,0,seed
PC NB,S5406SA,W2618,0,seed
PC NB,S5406SA,W2619,0,seed
PC NB,S5406SA,W2620,0,seed
PC NB,S5406SA,W2621,0,seed
PC NB,S5406SA,W2622,0,seed
PC NB,S5406SA,W2623,0,seed
PC NB,S5406SA,W2624,0,seed
PC NB,S5406SA,W2625,0,seed
PC NB,S5406SA,W2626,0,seed
PC NB,UM5406GA,W2601,0,seed
PC NB,UM5406GA,W2602,0,seed
PC NB,UM5406GA,W2603,0,seed
PC NB,UM5406GA,W2604,0,seed
PC NB,UM5406GA,W2605,0,seed
PC NB,UM5406GA,W2606,0,seed
PC NB,UM5406GA,W2607,0,seed
PC NB,UM5406GA,W2608,0,seed
PC NB,UM5406GA,W2609,0,seed
PC NB,UM5406GA,W2610,0,seed
PC NB,UM5406GA,W2611,0,seed
PC NB,UM5406GA,W2612,0,seed
PC NB,UM5406GA,W2613,0,seed
PC NB,UM5406GA,W2614,0,seed
PC NB,UM5406GA,W2615,0,seed
PC NB,UM5406GA,W2616,0,seed
PC NB,UM5406GA,W2617,0,seed
PC NB,UM5406GA,W2618,0,seed
PC NB,UM5406GA,W2619,0,seed
PC NB,UM5406GA,W2620,0,seed
PC NB,UM5406GA,W2621,0,seed
PC NB,UM5406GA,W2622,0,seed
